Table 01 Cotton World Supply Use and Trade (Season Beginning August 1)


                ,2018/19,2019/20,2020/21,2021/22,Feb 2022/23,Mar 2022/23,
Production,
                            nr,nr,nr,nr,nr,nr,
 China,6096,5977,6445,5835,6205,6423,
 India,5661,6205,6009,5313,5552,5334,
 United States,3999,4336,3181,3815,3196,3196,
 Brazil,2830,3000,2356,2552,2896,2896,
 Australia,479,136,610,1252,1089,1197,
 Turkey,816,751,631,827,1067,1067,
 Pakistan,1655,1350,980,1306,849,849,
 Other,4262,4408,4064,4335,4048,4095,

    Total,25798,26163,24275,25235,24902,25058,

USE Dom. Consumption,
                            nr,nr,nr,nr,nr,nr,
 China,8600,7403,8927,7348,7838,7838,
 India,5291,4463,5661,5443,4899,4899,
 Pakistan,2330,2068,2351,2330,1916,1872,
 Bangladesh,1568,1502,1851,1851,1785,1764,
 Turkey,1502,1437,1676,1894,1742,1676,
 Vietnam,1524,1437,1589,1459,1372,1372,
 Brazil,740,588,675,718,697,697,
 Other,4546,3794,4115,4272,3846,3856,

    Total,26101,22692,26845,25315,24094,23973,

Imports,
                            nr,nr,nr,nr,nr,nr,
 Bangladesh,1524,1633,1807,1785,1720,1676,
 China,2096,1554,2800,1707,1687,1633,
 Vietnam,1509,1411,1587,1444,1372,1372,
 Pakistan,621,871,1176,980,980,936,
 Turkey,785,1017,1160,1203,936,914,
 Indonesia,664,547,502,561,414,392,
 India,392,496,184,218,370,370,
 Other,1657,1334,1383,1398,1326,1323,

    Total,9248,8864,10598,9295,8805,8617,

Exports,
                            nr,nr,nr,nr,nr,nr,
 United States,3230,3377,3560,3184,2613,2613,
 Brazil,1310,1946,2398,1682,1742,1676,
 Australia,791,296,344,779,1328,1328,
 India,767,697,1348,815,544,479,
 Benin,303,211,342,305,283,283,
 Greece,295,319,355,311,278,278,
 Mali,294,256,131,283,207,207,
 Other,2043,1837,2155,1973,1798,1757,

    Total,9032,8939,10632,9331,8792,8621,

Ending Stocks,
                            nr,nr,nr,nr,nr,nr,
 China,7819,7913,8229,8396,8151,8587,
 Brazil,2668,3136,2421,2577,3038,3103,
 India,1873,3415,2599,1872,2351,2198,
 Australia,418,261,546,1058,858,967,
 United States,1056,1579,686,816,936,936,
 Turkey,369,602,590,602,711,752,
 Bangladesh,388,548,534,499,465,444,
 Other,3371,3924,3182,2928,2886,2858,

    Total,17963,21377,18786,18749,19396,19845,
