Table 04 Cotton Area Yield and Production

                
Country/Region,Area,,,,(Million hectares)Yield,,,,(Kilograms per hectare)Production,,,,(Million 480 lb. bales)Change in Production,
,,,2022/23 Proj.,,,,2022/23 Proj.,,,,2022/23 Proj.,,From last month,,From last year,
,2020/21,Prel. 2021/22,Feb,Mar,2020/21,Prel. 2021/22,Feb,Mar,2020/21,Prel. 2021/22,Feb,Mar,MBales,Percent,MBales,Percent,

World,31.37,32.53,31.38,31.61,774,776,794,793,111.49,115.90,114.37,115.09,0.72,0.63,-0.81,-0.70,
United States,3.33,4.16,3.01,3.01,957,918,1062,1062,14.61,17.52,14.68,14.68,0.00,0.00,-2.84,-16.22,
Total Foreign,28.04,28.38,28.37,28.60,752,755,765,764,96.89,98.38,99.69,100.41,0.72,0.72,2.03,2.07,

  Western Hemisphere  
Brazil,1.37,1.60,1.63,1.63,1720,1595,1777,1777,10.82,11.72,13.30,13.30,0.00,0.00,1.58,13.48,
Mexico,0.15,0.15,0.20,0.20,1532,1725,1470,1524,1.02,1.22,1.35,1.40,0.05,3.70,0.18,14.75,
Argentina,0.41,0.48,0.40,0.40,717,680,653,653,1.35,1.50,1.20,1.20,0.00,0.00,-0.30,-20.00,
Paraguay,0.01,0.01,0.01,0.01,416,416,416,416,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,
Peru,0.01,0.01,0.01,0.01,943,636,1113,891,0.03,0.04,0.05,0.05,0.00,-2.17,0.01,18.42,
Colombia,0.01,0.01,0.01,0.01,726,1279,871,871,0.03,0.05,0.04,0.04,0.00,0.00,-0.01,-23.40,

  Africa  
Burkina Faso,0.56,0.60,0.62,0.62,372,351,316,316,0.95,0.96,0.90,0.90,0.00,0.00,-0.06,-6.25,
Mali,0.17,0.72,0.69,0.69,396,432,316,316,0.30,1.43,1.00,1.00,0.00,0.00,-0.43,-30.07,
Cote dchr(39)Ivoire,0.45,0.47,0.41,0.41,494,486,292,281,1.01,1.05,0.55,0.53,-0.02,-3.64,-0.52,-49.52,
Cameroon,0.23,0.23,0.23,0.23,658,606,615,615,0.68,0.64,0.65,0.65,0.00,0.00,0.01,1.56,
Benin,0.62,0.64,0.58,0.58,513,483,492,492,1.45,1.42,1.30,1.30,0.00,0.00,-0.12,-8.45,
Chad,0.23,0.33,0.26,0.26,216,201,205,205,0.23,0.30,0.25,0.25,0.00,0.00,-0.06,-18.33,
Togo,0.10,0.07,0.07,0.07,272,295,301,301,0.13,0.10,0.09,0.09,0.00,0.00,-0.01,-5.26,
Senegal,0.02,0.02,0.02,0.02,460,458,381,381,0.04,0.04,0.03,0.03,0.00,0.00,-0.01,-30.00,
Egypt,0.07,0.09,0.13,0.13,720,717,703,703,0.22,0.28,0.42,0.42,0.00,0.00,0.14,50.00,
Zimbabwe,0.24,0.25,0.24,0.24,222,191,195,195,0.25,0.22,0.22,0.22,0.00,0.00,0.00,0.00,
Nigeria,0.27,0.27,0.27,0.27,282,282,282,282,0.35,0.35,0.35,0.35,0.00,0.00,0.00,0.00,

  Asia Oceania  
China,3.20,3.10,3.00,3.05,2014,1882,2068,2106,29.60,26.80,28.50,29.50,1.00,3.51,2.70,10.07,
India,13.29,12.37,12.70,12.70,452,429,437,420,27.60,24.40,25.50,24.50,-1.00,-3.92,0.10,0.41,
Pakistan,2.20,2.00,1.80,1.80,445,653,472,472,4.50,6.00,3.90,3.90,0.00,0.00,-2.10,-35.00,
Kazakhstan,0.11,0.12,0.13,0.13,534,502,523,523,0.27,0.27,0.30,0.30,0.00,0.00,0.04,13.21,
Tajikistan,0.16,0.17,0.17,0.17,619,608,615,615,0.46,0.48,0.48,0.48,0.00,0.00,0.01,1.05,
Turkmenistan,0.55,0.55,0.55,0.55,368,356,356,356,0.92,0.90,0.90,0.90,0.00,0.00,0.00,0.00,
Uzbekistan,1.06,1.06,1.07,1.07,653,596,549,590,3.18,2.90,2.70,2.90,0.20,7.41,0.00,0.00,
Turkey,0.35,0.45,0.56,0.56,1804,1839,1922,1922,2.90,3.80,4.90,4.90,0.00,0.00,1.10,28.95,
Australia,0.28,0.60,0.50,0.68,2217,2087,2177,1774,2.80,5.75,5.00,5.50,0.50,10.00,-0.25,-4.35,
Syria,0.03,0.03,0.03,0.03,1219,1132,1132,1132,0.14,0.13,0.13,0.13,0.00,0.00,0.00,0.00,
Burma,0.24,0.25,0.25,0.25,635,644,644,644,0.70,0.73,0.73,0.73,0.00,0.00,0.00,0.00,

  Europe  
Greece,0.28,0.26,0.26,0.26,1104,1163,1178,1178,1.40,1.40,1.38,1.38,0.00,0.00,-0.02,-1.43,

  
Others,1.43,1.49,1.61,1.61,542,511,483,481,3.56,3.51,3.58,3.57,-0.01,-0.28,0.06,1.65,
