Table 09:  World Cotton Supply and Distribution
        
Country Mktg Year,Beginning Stocks,Area Harvested,Production,Imports,Total Supply,Exports,Domestic Use,Loss,Total Dom. Cons.,Ending Stocks,Stock to Use %,

        World
1991/92,27476,34756,95320,29024,151820,28204,86188,368,86556,37060,43,
1992/93,37060,32614,82306,27067,146433,25435,86337,63,86400,34598,40,
1993/94,34598,30711,77676,27917,140191,26620,85510,143,85653,27918,33,
1994/95,27918,32185,86100,30350,144368,28018,84622,-330,84292,32058,38,
1995/96,32058,35902,93733,27004,152795,27296,85940,-544,85396,40103,47,
1996/97,40103,33760,89908,28579,158590,26602,87961,-585,87376,44612,51,
1997/98,44612,33795,92294,25929,162835,26777,87222,-581,86641,49417,57,
1998/99,49417,32884,85974,24480,159871,23507,84668,-1114,83554,52810,62,
1999/00,52810,32350,87888,27993,168691,27126,91047,-602,90445,51120,56,
2000/01,51120,32011,89062,26209,166391,26156,92040,-1424,90616,49619,54,
2001/02,49619,33716,98515,29297,177431,29081,94388,-781,93607,54743,58,
2002/03,54743,30756,91054,30188,175985,30400,98437,-804,97633,47952,49,
2003/04,47952,32258,96531,34150,178633,33072,98088,-909,97179,48382,49,
2004/05,48382,35658,121529,33965,203876,34949,109203,-1245,107958,60969,56,
2005/06,60969,34720,116348,44668,221985,44922,116943,-1793,115150,61913,53,
2006/07,61913,34576,122690,38305,222908,37416,124201,-1715,122486,63006,51,
2007/08,63006,32878,120095,39454,222555,38868,123836,-2094,121742,61945,50,
2008/09,61945,30622,108166,30523,200634,30207,110343,-1486,108857,61570,56,
2009/10,61570,30184,103150,36928,201648,35804,119517,-12,119505,46339,39,
2010/11,46339,33797,117192,36447,199978,34908,115458,119,115577,49493,43,
2011/12,49493,36058,127339,45448,222280,46020,103762,-210,103552,72708,70,
2012/13,72708,34336,123878,47528,244114,46345,107897,-368,107529,90240,84,
2013/14,90240,32821,120309,41436,251985,41293,109561,67,109628,101064,92,
2014/15,101064,33839,119174,36492,256730,36203,112212,313,112525,108002,96,
2015/16,108002,30725,96146,35721,239869,34908,113222,189,113411,91550,81,
2016/17,91550,29858,107279,37892,236721,38106,116591,31,116622,81993,70,
2017/18,81993,33679,124381,41532,247906,41602,123576,-100,123476,82828,67,
2018/19,82828,33216,118490,42476,243794,41484,119879,-73,119806,82504,69,
2019/20,82504,34466,120163,40710,243377,41055,104224,-86,104138,98184,94,
2020/21,98184,31366,111494,48677,258355,48833,123298,-59,123239,86283,70,
2021/22,86283,32533,115901,42691,244875,42858,116271,-367,115904,86113,74,
2022/23,86113,31611,115090,39576,240779,39596,110108,-70,110038,91145,83,
